Pilot;Field Name;Field Description;Field Latitude;Field Longitude;Device ID;Device Description;Device Type;Device EUI;Property Key;Property Name;Property Description;Unit Of Measurement;Unit Of Measurement Symbol;Datastream Name;Datastream Description;Averages
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D001;Compact and versatile environmental sensor module designed for monitoring temperature and humidity in various applications.;ST01;2cf7f1c043500183;air_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;ºC;Demo_Field_D001_air_temperature;The datastream containing mesures of field Demo Field by sensor D001 which measures Air Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D001;Compact and versatile environmental sensor module designed for monitoring temperature and humidity in various applications.;ST01;2cf7f1c043500183;air_humidity;Air Humidity;The amount of moisture or water vapor present in the air, often expressed as a percentage of the maximum amount the air could hold at a given temperature.;Percentage;%;Demo_Field_D001_air_humidity;The datastream containing mesures of field Demo Field by sensor D001 which measures Air Humidity.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D001;Compact and versatile environmental sensor module designed for monitoring temperature and humidity in various applications.;ST01;2cf7f1c043500183;co2_concentration;CO2 Concentration;The quantity of carbon dioxide gas present in the air, used to assess air quality and monitor environmental conditions.;Parts per million;ppm;Demo_Field_D001_co2_concentration;The datastream containing mesures of field Demo Field by sensor D001 which measures CO2 Concentration.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D002;A sensor module for measuring soil moisture and temperature, ideal for agriculture and environmental monitoring.;ST02;2CF7F12031500017;soil_moisture;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D002_soil_moisture;The datastream containing mesures of field Demo Field by sensor D002 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D002;A sensor module for measuring soil moisture and temperature, ideal for agriculture and environmental monitoring.;ST02;2CF7F12031500017;soil_temperature;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D002_soil_temperature;The datastream containing mesures of field Demo Field by sensor D002 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;battery_level;Battery Level;The percentage of battery level associated to the specific sensor.;Percentage;%;Demo_Field_D003_battery_level;The datastream containing mesures of field Demo Field by sensor D003 which measures Battery Level.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve1_pulse;Flowmeter pulses;The number of pulses read by flowmeter. Depending on flowmeter configuration it could correspond to a different number of cubic meter of water;Number of pulses;N/A;Demo_Field_D003_valve1_pulse;The datastream containing mesures of field Demo Field by sensor D003 which measures Flowmeter pulses.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve1_status;Valve status;The current condition of the valve controlled (opened or closed);ON / OFF;N/A;Demo_Field_D003_valve1_status;The datastream containing mesures of field Demo Field by sensor D003 which measures Valve status.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve2_pulse;Flowmeter pulses;The number of pulses read by flowmeter. Depending on flowmeter configuration it could correspond to a different number of cubic meter of water;Number of pulses;N/A;Demo_Field_D003_valve2_pulse;The datastream containing mesures of field Demo Field by sensor D003 which measures Flowmeter pulses.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D003;A LoRa-enabled controller for managing and controlling IoT devices, facilitating long-range wireless communication.;ST03;24e124414b106165;valve2_status;Valve status;The current condition of the valve controlled (opened or closed);ON / OFF;N/A;Demo_Field_D003_valve2_status;The datastream containing mesures of field Demo Field by sensor D003 which measures Valve status.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_1;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_2;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_3;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_4;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_5;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_moisture_6;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Demo_Field_D004_soil_moisture_6;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Moisture.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;ambient_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;ºC;Demo_Field_D004_ambient_temperature;The datastream containing mesures of field Demo Field by sensor D004 which measures Air Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_temperature_1;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D004_soil_temperature_1;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_temperature_2;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D004_soil_temperature_2;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_temperature_3;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D004_soil_temperature_3;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_temperature_4;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D004_soil_temperature_4;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_temperature_5;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D004_soil_temperature_5;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;3738383962376102;soil_temperature_6;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Demo_Field_D004_soil_temperature_6;The datastream containing mesures of field Demo Field by sensor D004 which measures Soil Temperature.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D005;A sensor for counting and transmitting the pulse produced by a flowmeter.;ST05;AC1F09FFFE04E43F ;count;Flowmeter pulses;The number of pulses read by flowmeter. Depending on flowmeter configuration it could correspond to a different number of cubic meter of water;Number of pulses;N/A;Demo_Field_D005_count;The datastream containing mesures of field Demo Field by sensor D005 which measures Flowmeter pulses.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D005;A sensor for counting and transmitting the pulse produced by a flowmeter.;ST05;AC1F09FFFE04E43F ;leak;Leak warning;A warning in case of water leak detected;True / False;N/A;Demo_Field_D005_leak;The datastream containing mesures of field Demo Field by sensor D005 which measures Leak warning.;None
Demo;Demo Field;Demo sensors in ABI;40,72700569;8,56432347;D005;A sensor for counting and transmitting the pulse produced by a flowmeter.;ST05;AC1F09FFFE04E43F ;system_voltage;Battery Voltage;The electrical potential in a battery, indicating its charge level.;Millivolts;mV;Demo_Field_D005_system_voltage;The datastream containing mesures of field Demo Field by sensor D005 which measures Battery Voltage.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I001_soil_moisture_1;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I001_soil_moisture_2;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I001_soil_moisture_3;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I001_soil_moisture_4;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I001_soil_moisture_5;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_moisture_6;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I001_soil_moisture_6;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;ambient_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;ºC;Torresan_I001_ambient_temperature;The datastream containing mesures of field Torresan by sensor I001 which measures Air Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_temperature_1;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I001_soil_temperature_1;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_temperature_2;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I001_soil_temperature_2;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_temperature_3;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I001_soil_temperature_3;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_temperature_4;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I001_soil_temperature_4;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_temperature_5;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I001_soil_temperature_5;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77597000;8,54903000;I001;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E48A;soil_temperature_6;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I001_soil_temperature_6;The datastream containing mesures of field Torresan by sensor I001 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I002_soil_moisture_1;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I002_soil_moisture_2;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I002_soil_moisture_3;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I002_soil_moisture_4;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I002_soil_moisture_5;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_moisture_6;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Torresan_I002_soil_moisture_6;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Moisture.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;ambient_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;ºC;Torresan_I002_ambient_temperature;The datastream containing mesures of field Torresan by sensor I002 which measures Air Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_temperature_1;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I002_soil_temperature_1;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_temperature_2;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I002_soil_temperature_2;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_temperature_3;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I002_soil_temperature_3;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_temperature_4;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I002_soil_temperature_4;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_temperature_5;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I002_soil_temperature_5;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Temperature.;None
Italy;Torresan;Sensors owned by UNISS;39,77614000;8,54850000;I002;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E487;soil_temperature_6;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Torresan_I002_soil_temperature_6;The datastream containing mesures of field Torresan by sensor I002 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I003_soil_moisture_1;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I003_soil_moisture_2;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I003_soil_moisture_3;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I003_soil_moisture_4;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I003_soil_moisture_5;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_moisture_6;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I003_soil_moisture_6;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;ambient_temperature;Air Temperature;The measure of the hotness or coldness of the air.;Degrees Celsius;ºC;Pinos_I003_ambient_temperature;The datastream containing mesures of field Pinos by sensor I003 which measures Air Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_temperature_1;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Pinos_I003_soil_temperature_1;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_temperature_2;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Pinos_I003_soil_temperature_2;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_temperature_3;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Pinos_I003_soil_temperature_3;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_temperature_4;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Pinos_I003_soil_temperature_4;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_temperature_5;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Pinos_I003_soil_temperature_5;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76103000;8,58069400;I003;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4C1;soil_temperature_6;Soil Temperature;The measure of temperature of the soil.;Degrees Celsius;ºC;Pinos_I003_soil_temperature_6;The datastream containing mesures of field Pinos by sensor I003 which measures Soil Temperature.;None
Italy;Pinos;Sensors owned by UNISS;39,76139000;8,58150000;I004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4B1;soil_moisture_1;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I004_soil_moisture_1;The datastream containing mesures of field Pinos by sensor I004 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76139000;8,58150000;I004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4B1;soil_moisture_2;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I004_soil_moisture_2;The datastream containing mesures of field Pinos by sensor I004 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76139000;8,58150000;I004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4B1;soil_moisture_3;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I004_soil_moisture_3;The datastream containing mesures of field Pinos by sensor I004 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76139000;8,58150000;I004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4B1;soil_moisture_4;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I004_soil_moisture_4;The datastream containing mesures of field Pinos by sensor I004 which measures Soil Moisture.;None
Italy;Pinos;Sensors owned by UNISS;39,76139000;8,58150000;I004;An advanced sensor capable of monitoring temperature and moisture at different depths. Useful for agronomic research activities.;ST04;AC1F09FFFE04E4B1;soil_moisture_5;Soil Moisture;The amount of moisture present in the soil, often expressed as a percentage of the maximum amount the soil could hold at a given temperature.;Percentage;%;Pinos_I004_soil_moisture_5;The datastream containing mesures of field Pinos by sensor I004 which measures Soil Moisture.;None
